date_cleaned,topic_split,count
2010-07-24,science and technology,8
2010-07-24,sports,8
2010-07-25,armed conflicts and attacks,5
2010-07-25,business and economics,5
2010-07-25,disasters and accidents,5
2010-07-25,politics and elections and economics,5
2010-07-25,sports,5
2010-07-26,armed conflicts and attacks,6
2010-07-26,disasters and accidents,6
2010-07-26,law and crime and politics,6
2010-07-26,politics and elections and economics,6
2010-07-26,science and technology,6
2010-07-26,sports,6
2010-07-27,armed conflicts and attacks,8
2010-07-27,arts and culture,8
2010-07-27,business and economics,8
2010-07-27,disasters and accidents,8
2010-07-27,law and crime and politics,8
2010-07-27,politics and elections and economics,8
2010-07-27,science and technology,8
2010-07-27,sports,8
2010-07-28,armed conflicts and attacks,5
2010-07-28,disasters and accidents,5
2010-07-28,international relations,5
2010-07-28,law and crime and politics,5
2010-07-28,politics and elections and economics,5
2010-07-29,armed conflicts and attacks,8
2010-07-29,arts and culture,8
2010-07-29,business and economics,8
2010-07-29,disasters and accidents,8
2010-07-29,international relations,8
2010-07-29,law and crime and politics,8
2010-07-29,politics and elections and economics,8
2010-07-29,science and technology,8
2010-07-30,armed conflicts and attacks,7
2010-07-30,arts and culture,14
2010-07-30,disasters and accidents,7
2010-07-30,law and crime and politics,7
2010-07-30,politics and elections and economics,7
2010-07-30,science and technology,7
2010-07-31,arts and culture,6
2010-07-31,business and economics,6
2010-07-31,disasters and accidents,6
2010-07-31,international relations,6
2010-07-31,law and crime and politics,6
2010-07-31,politics and elections and economics,6
2010-08-03,armed conflicts and attacks,10
2010-08-03,arts and culture,20
2010-08-03,business and economics,10
2010-08-03,disasters and accidents,10
2010-08-03,international relations,10
2010-08-03,law and crime and politics,10
2010-08-03,politics and elections and economics,10
2010-08-03,science and technology,10
2010-08-03,sports,10
2010-08-04,armed conflicts and attacks,8
2010-08-04,arts and culture,16
2010-08-04,disasters and accidents,8
2010-08-04,international relations,8
2010-08-04,law and crime and politics,8
2010-08-04,politics and elections and economics,8
2010-08-04,sports,8
2010-08-05,armed conflicts and attacks,9
2010-08-05,arts and culture,9
2010-08-05,business and economics,9
2010-08-05,disasters and accidents,9
2010-08-05,international relations,9
2010-08-05,law and crime and politics,9
2010-08-05,politics and elections and economics,9
2010-08-05,science and technology,9
2010-08-05,sports,9
2010-08-06,armed conflicts and attacks,9
2010-08-06,arts and culture,9
2010-08-06,business and economics,9
2010-08-06,disasters and accidents,9
2010-08-06,international relations,9
2010-08-06,law and crime and politics,9
2010-08-06,politics and elections and economics,9
2010-08-06,science and technology,9
2010-08-06,sports,9
2011-11-18,business and economics,3
2011-11-18,entertainment,3
2011-11-18,law and crime and politics,3
2012-08-25,science and technology,1
2013-06-07,armed conflicts and attacks,9
2013-06-07,arts and culture,9
2013-06-07,business and economics,9
2013-06-07,disasters and accidents,9
2013-06-07,health and environment,9
2013-06-07,international relations,9
2013-06-07,law and crime and politics,9
2013-06-07,politics and elections and economics,9
2013-06-07,sports,9
2014-04-02,armed conflicts and attacks,5
2014-04-02,business and economics,5
2014-04-02,disasters and accidents,5
2014-04-02,law and crime and politics,5
2014-04-02,politics and elections and economics,5
2015-02-27,armed conflicts and attacks,2
2015-02-27,law and crime and politics,2
2016-02-25,armed conflicts and attacks,7
2016-02-25,arts and culture,7
2016-02-25,business and economics,7
2016-02-25,disasters and accidents,7
2016-02-25,international relations,7
2016-02-25,law and crime and politics,7
2016-02-25,politics and elections and economics,7
2018-04-23,armed conflicts and attacks,10
2018-04-23,arts and culture,10
2018-04-23,business and economics,10
2018-04-23,disasters and accidents,10
2018-04-23,health and environment,10
2018-04-23,international relations,10
2018-04-23,law and crime and politics,10
2018-04-23,politics and elections and economics,10
2018-04-23,science and technology,10
2018-04-23,sports,10
2018-04-24,armed conflicts and attacks,5
2018-04-24,disasters and accidents,5
2018-04-24,international relations,5
2018-04-24,law and crime and politics,5
2018-04-24,science and technology,5
2018-10-17,armed conflicts and attacks,4
2018-10-17,arts and culture,4
2018-10-17,disasters and accidents,4
2018-10-17,law and crime and politics,4
2019-08-31,armed conflicts and attacks,5
2019-08-31,disasters and accidents,5
2019-08-31,health and environment,5
2019-08-31,law and crime and politics,5
2019-08-31,sports,5
2020-06-08,armed conflicts and attacks,3
2020-06-08,business and economics,3
2020-06-08,health and environment,3
2020-06-09,armed conflicts and attacks,7
2020-06-09,arts and culture,7
2020-06-09,disasters and accidents,7
2020-06-09,health and environment,7
2020-06-09,international relations,7
2020-06-09,law and crime and politics,7
2020-06-09,politics and elections and economics,7
2020-06-14,armed conflicts and attacks,4
2020-06-14,disasters and accidents,4
2020-06-14,health and environment,4
2020-06-14,politics and elections and economics,4
2020-07-11,sports,1
2020-07-16,health and environment,4
2020-07-16,law and crime and politics,4
2020-07-16,politics and elections and economics,4
2020-07-16,sports,4
2020-07-22,armed conflicts and attacks,8
2020-07-22,arts and culture,8
2020-07-22,business and economics,8
2020-07-22,disasters and accidents,8
2020-07-22,health and environment,8
2020-07-22,international relations,8
2020-07-22,law and crime and politics,8
2020-07-22,sports,8
2020-07-24,armed conflicts and attacks,7
2020-07-24,arts and culture,7
2020-07-24,health and environment,7
2020-07-24,international relations,7
2020-07-24,law and crime and politics,7
2020-07-24,politics and elections and economics,7
2020-07-24,science and technology,7
2020-11-10,armed conflicts and attacks,5
2020-11-10,business and economics,5
2020-11-10,health and environment,5
2020-11-10,law and crime and politics,5
2020-11-10,politics and elections and economics,5
2020-11-17,armed conflicts and attacks,6
2020-11-17,business and economics,6
2020-11-17,health and environment,6
2020-11-17,international relations,6
2020-11-17,politics and elections and economics,6
2020-11-17,science and technology,6
2020-11-18,business and economics,5
2020-11-18,health and environment,5
2020-11-18,international relations,5
2020-11-18,politics and elections and economics,5
2020-11-18,sports,5
2020-11-19,armed conflicts and attacks,6
2020-11-19,health and environment,6
2020-11-19,international relations,6
2020-11-19,law and crime and politics,6
2020-11-19,politics and elections and economics,6
2020-11-19,science and technology,6
2020-11-20,armed conflicts and attacks,7
2020-11-20,arts and culture,7
2020-11-20,business and economics,7
2020-11-20,health and environment,7
2020-11-20,international relations,7
2020-11-20,law and crime and politics,7
2020-11-20,politics and elections and economics,7
2020-11-21,armed conflicts and attacks,6
2020-11-21,health and environment,6
2020-11-21,international relations,6
2020-11-21,law and crime and politics,6
2020-11-21,politics and elections and economics,6
2020-11-21,science and technology,6
2020-11-22,armed conflicts and attacks,5
2020-11-22,health and environment,5
2020-11-22,international relations,5
2020-11-22,law and crime and politics,5
2020-11-22,politics and elections and economics,5
2020-11-23,armed conflicts and attacks,7
2020-11-23,health and environment,7
2020-11-23,international relations,7
2020-11-23,law and crime and politics,7
2020-11-23,politics and elections and economics,7
2020-11-23,science and technology,7
2020-11-23,sports,7
2020-11-24,armed conflicts and attacks,6
2020-11-24,business and economics,6
2020-11-24,health and environment,6
2020-11-24,international relations,6
2020-11-24,law and crime and politics,6
2020-11-24,politics and elections and economics,6
2020-11-25,armed conflicts and attacks,5
2020-11-25,health and environment,5
2020-11-25,law and crime and politics,5
2020-11-25,politics and elections and economics,5
2020-11-25,sports,5
2020-11-26,armed conflicts and attacks,6
2020-11-26,business and economics,6
2020-11-26,health and environment,6
2020-11-26,international relations,6
2020-11-26,law and crime and politics,6
2020-11-26,politics and elections and economics,6
2020-11-27,armed conflicts and attacks,5
2020-11-27,business and economics,5
2020-11-27,health and environment,5
2020-11-27,law and crime and politics,5
2020-11-27,politics and elections and economics,5
2020-11-28,armed conflicts and attacks,8
2020-11-28,arts and culture,8
2020-11-28,disasters and accidents,8
2020-11-28,health and environment,8
2020-11-28,international relations,8
2020-11-28,law and crime and politics,8
2020-11-28,politics and elections and economics,8
2020-11-28,sports,8
2020-11-29,armed conflicts and attacks,6
2020-11-29,arts and culture,6
2020-11-29,disasters and accidents,6
2020-11-29,health and environment,6
2020-11-29,law and crime and politics,6
2020-11-29,politics and elections and economics,6
2020-11-30,armed conflicts and attacks,7
2020-11-30,business and economics,7
2020-11-30,health and environment,7
2020-11-30,international relations,7
2020-11-30,law and crime and politics,7
2020-11-30,politics and elections and economics,7
2020-11-30,science and technology,7
2021-01-01,armed conflicts and attacks,7
2021-01-01,arts and culture,7
2021-01-01,disasters and accidents,7
2021-01-01,health and environment,7
2021-01-01,international relations,7
2021-01-01,law and crime and politics,7
2021-01-01,politics and elections and economics,7
2021-01-02,armed conflicts and attacks,6
2021-01-02,arts and culture,6
2021-01-02,disasters and accidents,6
2021-01-02,health and environment,6
2021-01-02,law and crime and politics,6
2021-01-02,politics and elections and economics,6
2021-01-03,armed conflicts and attacks,5
2021-01-03,disasters and accidents,5
2021-01-03,health and environment,5
2021-01-03,international relations,5
2021-01-03,politics and elections and economics,5
2021-01-04,armed conflicts and attacks,4
2021-01-04,health and environment,4
2021-01-04,international relations,4
2021-01-04,law and crime and politics,4
2021-01-05,health and environment,5
2021-01-05,international relations,5
2021-01-05,law and crime and politics,5
2021-01-05,politics and elections and economics,5
2021-01-05,sports,5
2021-01-06,armed conflicts and attacks,6
2021-01-06,health and environment,6
2021-01-06,international relations,6
2021-01-06,law and crime and politics,6
2021-01-06,politics and elections and economics,6
2021-01-06,science and technology,6
2021-01-07,armed conflicts and attacks,6
2021-01-07,business and economics,6
2021-01-07,health and environment,6
2021-01-07,international relations,6
2021-01-07,politics and elections and economics,6
2021-01-07,science and technology,6
2021-01-08,health and environment,4
2021-01-08,law and crime and politics,4
2021-01-08,politics and elections and economics,4
2021-01-08,science and technology,4
2021-01-09,arts and culture,7
2021-01-09,disasters and accidents,7
2021-01-09,health and environment,7
2021-01-09,international relations,7
2021-01-09,law and crime and politics,7
2021-01-09,science and technology,7
2021-01-09,sports,7
2021-01-10,armed conflicts and attacks,6
2021-01-10,business and economics,6
2021-01-10,disasters and accidents,6
2021-01-10,health and environment,6
2021-01-10,law and crime and politics,6
2021-01-10,politics and elections and economics,6
2021-01-11,business and economics,8
2021-01-11,disasters and accidents,8
2021-01-11,health and environment,8
2021-01-11,international relations,8
2021-01-11,law and crime and politics,8
2021-01-11,politics and elections and economics,8
2021-01-11,science and technology,8
2021-01-11,sports,8
2021-01-12,disasters and accidents,6
2021-01-12,health and environment,6
2021-01-12,international relations,6
2021-01-12,law and crime and politics,6
2021-01-12,politics and elections and economics,6
2021-01-12,sports,6
2021-01-13,armed conflicts and attacks,9
2021-01-13,business and economics,9
2021-01-13,disasters and accidents,9
2021-01-13,health and environment,9
2021-01-13,international relations,9
2021-01-13,law and crime and politics,9
2021-01-13,politics and elections and economics,9
2021-01-13,science and technology,9
2021-01-13,sports,9
2021-01-14,armed conflicts and attacks,7
2021-01-14,arts and culture,7
2021-01-14,business and economics,7
2021-01-14,health and environment,7
2021-01-14,international relations,7
2021-01-14,law and crime and politics,7
2021-01-14,politics and elections and economics,7
2021-01-15,armed conflicts and attacks,8
2021-01-15,business and economics,8
2021-01-15,disasters and accidents,8
2021-01-15,health and environment,8
2021-01-15,international relations,8
2021-01-15,law and crime and politics,8
2021-01-15,politics and elections and economics,8
2021-01-15,sports,8
2021-01-16,armed conflicts and attacks,7
2021-01-16,business and economics,7
2021-01-16,disasters and accidents,7
2021-01-16,health and environment,7
2021-01-16,international relations,7
2021-01-16,law and crime and politics,7
2021-01-16,politics and elections and economics,7
2021-01-17,armed conflicts and attacks,4
2021-01-17,disasters and accidents,4
2021-01-17,health and environment,4
2021-01-17,law and crime and politics,4
2021-01-18,armed conflicts and attacks,6
2021-01-18,business and economics,6
2021-01-18,health and environment,6
2021-01-18,international relations,6
2021-01-18,law and crime and politics,6
2021-01-18,politics and elections and economics,6
2021-01-19,arts and culture,6
2021-01-19,business and economics,6
2021-01-19,health and environment,6
2021-01-19,international relations,6
2021-01-19,law and crime and politics,6
2021-01-19,science and technology,6
2021-01-20,armed conflicts and attacks,6
2021-01-20,arts and culture,6
2021-01-20,disasters and accidents,6
2021-01-20,health and environment,6
2021-01-20,international relations,6
2021-01-20,politics and elections and economics,6
2021-01-21,armed conflicts and attacks,9
2021-01-21,arts and culture,9
2021-01-21,disasters and accidents,9
2021-01-21,health and environment,9
2021-01-21,international relations,9
2021-01-21,law and crime and politics,9
2021-01-21,politics and elections and economics,9
2021-01-21,science and technology,9
2021-01-21,sports,9
2021-01-22,armed conflicts and attacks,7
2021-01-22,health and environment,7
2021-01-22,international relations,7
2021-01-22,law and crime and politics,7
2021-01-22,politics and elections and economics,7
2021-01-22,science and technology,7
2021-01-22,sports,7
2021-01-23,armed conflicts and attacks,3
2021-01-23,health and environment,3
2021-01-23,law and crime and politics,3
2021-01-24,armed conflicts and attacks,8
2021-01-24,disasters and accidents,8
2021-01-24,health and environment,8
2021-01-24,international relations,8
2021-01-24,law and crime and politics,8
2021-01-24,politics and elections and economics,8
2021-01-24,science and technology,8
2021-01-24,sports,8
2021-01-25,armed conflicts and attacks,7
2021-01-25,business and economics,7
2021-01-25,disasters and accidents,7
2021-01-25,health and environment,7
2021-01-25,international relations,7
2021-01-25,law and crime and politics,7
2021-01-25,politics and elections and economics,7
2021-01-26,armed conflicts and attacks,5
2021-01-26,disasters and accidents,5
2021-01-26,health and environment,5
2021-01-26,law and crime and politics,5
2021-01-26,politics and elections and economics,5
2021-01-27,armed conflicts and attacks,6
2021-01-27,business and economics,6
2021-01-27,disasters and accidents,6
2021-01-27,health and environment,6
2021-01-27,law and crime and politics,6
2021-01-27,politics and elections and economics,6
2021-01-28,arts and culture,9
2021-01-28,business and economics,9
2021-01-28,disasters and accidents,9
2021-01-28,health and environment,9
2021-01-28,international relations,9
2021-01-28,law and crime and politics,9
2021-01-28,politics and elections and economics,9
2021-01-28,science and technology,9
2021-01-28,sports,9
2021-01-29,business and economics,6
2021-01-29,disasters and accidents,6
2021-01-29,health and environment,6
2021-01-29,international relations,6
2021-01-29,law and crime and politics,6
2021-01-29,politics and elections and economics,6
2021-01-30,armed conflicts and attacks,4
2021-01-30,health and environment,4
2021-01-30,international relations,4
2021-01-30,law and crime and politics,4
2021-01-31,armed conflicts and attacks,5
2021-01-31,health and environment,5
2021-01-31,international relations,5
2021-01-31,law and crime and politics,5
2021-01-31,politics and elections and economics,5
2021-02-01,armed conflicts and attacks,6
2021-02-01,disasters and accidents,6
2021-02-01,health and environment,6
2021-02-01,international relations,6
2021-02-01,law and crime and politics,6
2021-02-01,politics and elections and economics,6
2021-02-02,armed conflicts and attacks,7
2021-02-02,business and economics,7
2021-02-02,health and environment,7
2021-02-02,international relations,7
2021-02-02,law and crime and politics,7
2021-02-02,politics and elections and economics,7
2021-02-02,sports,7
2021-02-03,armed conflicts and attacks,7
2021-02-03,business and economics,7
2021-02-03,disasters and accidents,7
2021-02-03,health and environment,7
2021-02-03,international relations,7
2021-02-03,law and crime and politics,7
2021-02-03,politics and elections and economics,7
2021-02-04,armed conflicts and attacks,8
2021-02-04,arts and culture,8
2021-02-04,disasters and accidents,8
2021-02-04,health and environment,8
2021-02-04,international relations,8
2021-02-04,law and crime and politics,8
2021-02-04,politics and elections and economics,8
2021-02-04,science and technology,8
2021-02-05,armed conflicts and attacks,7
2021-02-05,business and economics,7
2021-02-05,health and environment,7
2021-02-05,international relations,7
2021-02-05,law and crime and politics,7
2021-02-05,politics and elections and economics,7
2021-02-05,science and technology,7
2021-02-06,armed conflicts and attacks,9
2021-02-06,business and economics,9
2021-02-06,disasters and accidents,9
2021-02-06,health and environment,9
2021-02-06,international relations,9
2021-02-06,law and crime and politics,9
2021-02-06,politics and elections and economics,9
2021-02-06,science and technology,9
2021-02-06,sports,9
2021-02-07,armed conflicts and attacks,7
2021-02-07,disasters and accidents,7
2021-02-07,health and environment,7
2021-02-07,international relations,7
2021-02-07,law and crime and politics,7
2021-02-07,politics and elections and economics,7
2021-02-07,sports,7
2021-02-08,armed conflicts and attacks,7
2021-02-08,disasters and accidents,7
2021-02-08,health and environment,7
2021-02-08,international relations,7
2021-02-08,law and crime and politics,7
2021-02-08,politics and elections and economics,7
2021-02-08,sports,7
2021-02-09,armed conflicts and attacks,7
2021-02-09,disasters and accidents,7
2021-02-09,health and environment,7
2021-02-09,international relations,7
2021-02-09,law and crime and politics,7
2021-02-09,politics and elections and economics,7
2021-02-09,science and technology,7
2021-02-10,armed conflicts and attacks,7
2021-02-10,disasters and accidents,7
2021-02-10,health and environment,7
2021-02-10,international relations,7
2021-02-10,law and crime and politics,7
2021-02-10,science and technology,7
2021-02-10,sports,7
2021-02-11,armed conflicts and attacks,8
2021-02-11,business and economics,8
2021-02-11,disasters and accidents,8
2021-02-11,health and environment,8
2021-02-11,international relations,8
2021-02-11,law and crime and politics,8
2021-02-11,politics and elections and economics,8
2021-02-11,sports,8
2021-02-12,armed conflicts and attacks,10
2021-02-12,arts and culture,10
2021-02-12,business and economics,10
2021-02-12,disasters and accidents,10
2021-02-12,health and environment,10
2021-02-12,international relations,10
2021-02-12,law and crime and politics,10
2021-02-12,politics and elections and economics,10
2021-02-12,science and technology,10
2021-02-12,sports,10
2021-02-13,armed conflicts and attacks,7
2021-02-13,arts and culture,7
2021-02-13,disasters and accidents,7
2021-02-13,health and environment,7
2021-02-13,law and crime and politics,7
2021-02-13,politics and elections and economics,7
2021-02-13,sports,7
2021-02-14,armed conflicts and attacks,5
2021-02-14,health and environment,5
2021-02-14,international relations,5
2021-02-14,law and crime and politics,5
2021-02-14,politics and elections and economics,5
2021-02-15,armed conflicts and attacks,9
2021-02-15,arts and culture,9
2021-02-15,business and economics,9
2021-02-15,disasters and accidents,9
2021-02-15,health and environment,9
2021-02-15,international relations,9
2021-02-15,law and crime and politics,9
2021-02-15,politics and elections and economics,9
2021-02-15,sports,9
2021-02-16,armed conflicts and attacks,6
2021-02-16,business and economics,6
2021-02-16,disasters and accidents,6
2021-02-16,health and environment,6
2021-02-16,law and crime and politics,6
2021-02-16,politics and elections and economics,6
2021-02-17,armed conflicts and attacks,4
2021-02-17,health and environment,4
2021-02-17,politics and elections and economics,4
2021-02-17,science and technology,4
2021-02-18,armed conflicts and attacks,8
2021-02-18,business and economics,8
2021-02-18,disasters and accidents,8
2021-02-18,health and environment,8
2021-02-18,international relations,8
2021-02-18,law and crime and politics,8
2021-02-18,politics and elections and economics,8
2021-02-18,science and technology,8
2021-02-19,armed conflicts and attacks,7
2021-02-19,arts and culture,7
2021-02-19,business and economics,7
2021-02-19,health and environment,7
2021-02-19,international relations,7
2021-02-19,law and crime and politics,7
2021-02-19,politics and elections and economics,7
2021-02-20,armed conflicts and attacks,6
2021-02-20,disasters and accidents,6
2021-02-20,health and environment,6
2021-02-20,law and crime and politics,6
2021-02-20,politics and elections and economics,6
2021-02-20,sports,6
2021-02-21,armed conflicts and attacks,7
2021-02-21,disasters and accidents,7
2021-02-21,health and environment,7
2021-02-21,international relations,7
2021-02-21,politics and elections and economics,7
2021-02-21,science and technology,7
2021-02-21,sports,7
2021-02-22,armed conflicts and attacks,6
2021-02-22,arts and culture,6
2021-02-22,health and environment,6
2021-02-22,international relations,6
2021-02-22,law and crime and politics,6
2021-02-22,sports,6
2021-02-23,armed conflicts and attacks,7
2021-02-23,arts and culture,7
2021-02-23,health and environment,7
2021-02-23,international relations,7
2021-02-23,law and crime and politics,7
2021-02-23,science and technology,7
2021-02-23,sports,7
2021-02-24,armed conflicts and attacks,6
2021-02-24,arts and culture,6
2021-02-24,health and environment,6
2021-02-24,international relations,6
2021-02-24,law and crime and politics,6
2021-02-24,science and technology,6
2021-02-25,armed conflicts and attacks,8
2021-02-25,disasters and accidents,8
2021-02-25,health and environment,8
2021-02-25,international relations,8
2021-02-25,law and crime and politics,8
2021-02-25,politics and elections and economics,8
2021-02-25,science and technology,8
2021-02-25,sports,8
2021-02-26,armed conflicts and attacks,7
2021-02-26,business and economics,7
2021-02-26,disasters and accidents,7
2021-02-26,health and environment,7
2021-02-26,international relations,7
2021-02-26,law and crime and politics,7
2021-02-26,sports,7
2021-02-27,armed conflicts and attacks,4
2021-02-27,health and environment,4
2021-02-27,law and crime and politics,4
2021-02-27,politics and elections and economics,4
2021-02-28,armed conflicts and attacks,4
2021-02-28,health and environment,4
2021-02-28,law and crime and politics,4
2021-02-28,politics and elections and economics,4
2021-03-01,armed conflicts and attacks,4
2021-03-01,disasters and accidents,4
2021-03-01,health and environment,4
2021-03-01,law and crime and politics,4
2021-03-02,armed conflicts and attacks,5
2021-03-02,business and economics,5
2021-03-02,disasters and accidents,5
2021-03-02,health and environment,5
2021-03-02,law and crime and politics,5
2021-03-03,armed conflicts and attacks,6
2021-03-03,business and economics,6
2021-03-03,disasters and accidents,6
2021-03-03,health and environment,6
2021-03-03,law and crime and politics,6
2021-03-03,politics and elections and economics,6
2021-03-04,armed conflicts and attacks,7
2021-03-04,arts and culture,7
2021-03-04,disasters and accidents,7
2021-03-04,health and environment,7
2021-03-04,law and crime and politics,7
